19 13
2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 
2 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 3 3 3 
2 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 3 3 3 
2 0 0 2 2 2 2 2 2 2 2 0 0 2 0 0 3 3 3 
2 2 0 0 0 0 0 0 0 0 0 2 2 0 0 0 3 3 3 
2 2 2 0 0 0 4 4 0 0 0 0 0 0 0 9 3 3 3 
0 0 0 0 2 0 0 0 13 0 10 10 10 10 0 13 3 3 3 
4 0 0 2 2 2 2 2 5 2 2 7 7 7 7 7 7 7 2 
3 4 0 0 0 0 0 0 10 2 2 6 6 6 6 6 6 6 2 
3 3 4 4 0 1 0 0 10 0 2 2 2 2 6 6 6 6 2 
3 3 3 3 4 4 4 4 4 0 0 11 0 0 2 6 6 6 2 
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
