18 16
0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 
0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 
0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 
0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 
0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 
0 0 1 0 0 0 0 0 0 0 0 0 0 13 0 2 2 2 
4 4 4 4 4 0 0 0 0 10 0 4 4 4 4 2 2 2 
0 0 0 0 0 0 0 0 0 4 10 3 3 3 3 2 2 2 
0 0 0 0 0 0 4 4 0 3 10 3 3 3 3 2 2 2 
10 0 0 10 10 10 3 3 0 3 10 3 3 3 3 2 2 2 
0 10 0 0 0 0 0 0 0 0 10 0 0 0 3 2 2 2 
0 0 10 0 0 0 0 0 0 9 0 4 4 4 3 11 0 0 
0 0 0 10 0 0 0 10 10 4 4 2 2 2 2 2 2 2 
7 7 7 7 7 4 4 7 7 3 3 7 7 7 7 7 7 7 
6 6 6 6 6 3 3 6 6 3 3 6 6 6 6 6 6 6 
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
