16 18
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 5 5 5 5 5 5 5 5 5 5 5 5 0 0 
0 0 5 0 0 0 0 0 0 0 0 0 0 5 0 0 
0 0 5 0 0 0 0 0 0 5 0 0 0 5 0 0 
0 0 5 0 0 0 0 0 0 5 0 0 0 5 0 0 
0 0 5 0 0 0 5 5 5 5 5 5 5 5 5 5 
0 0 5 5 5 0 0 0 0 0 0 0 0 4 0 0 
0 0 5 0 0 5 0 0 0 0 0 0 0 3 0 0 
0 0 5 0 0 0 0 5 0 9 0 0 0 3 0 0 
0 0 5 0 0 0 0 0 0 5 0 0 0 3 0 0 
0 0 5 5 5 5 5 5 5 0 5 0 0 3 0 0 
0 0 0 0 0 0 0 0 5 0 0 0 5 3 0 0 
0 0 0 0 0 0 0 0 13 0 0 5 5 3 0 0 
1 0 5 5 5 5 5 5 4 4 4 4 4 3 0 11 
4 4 4 4 4 4 4 4 3 3 3 3 3 3 4 4 
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
