16 18
11 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 4 4 4 4 4 4 4 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 3 13 0 0 0 0 0 0 0 
9 0 0 0 0 0 0 3 4 4 4 0 7 7 7 7 
4 4 0 0 0 0 0 0 0 0 0 0 6 6 6 6 
0 0 0 10 0 0 0 0 0 0 0 0 6 6 6 6 
0 0 0 0 0 10 0 0 0 0 0 0 6 6 6 6 
0 0 0 0 10 0 0 0 0 0 0 0 6 6 6 6 
0 0 0 10 0 0 0 0 0 0 0 0 6 6 6 6 
4 4 0 0 0 0 0 0 0 10 4 4 6 6 6 6 
0 0 10 0 0 0 0 0 10 0 0 0 6 6 6 6 
0 0 0 0 10 0 0 10 0 0 0 0 6 6 6 6 
0 0 0 0 0 0 10 0 0 0 0 0 6 6 6 6 
0 0 0 0 0 10 0 0 0 0 0 0 6 6 6 6 
0 0 0 4 4 4 0 0 4 4 4 4 9 6 6 6 
1 0 4 7 7 7 7 7 7 7 7 6 4 6 6 6 
4 4 3 6 6 6 6 6 6 6 6 6 6 6 6 6 
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
