21 16
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
2 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 3 2 
2 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 9 3 2 
2 0 0 2 2 2 2 2 0 0 0 0 0 5 0 0 0 4 4 3 2 
2 0 0 2 0 0 0 2 0 0 0 0 0 5 0 0 0 3 3 3 2 
2 0 0 2 9 0 0 0 0 0 0 0 0 5 0 0 0 3 3 3 2 
2 0 0 0 10 0 0 0 0 0 0 0 0 0 4 4 4 3 3 3 2 
2 0 0 0 0 0 0 0 0 0 2 2 2 0 0 0 0 0 0 0 2 
2 0 0 0 0 0 10 10 2 2 2 2 2 2 0 0 0 0 0 0 2 
2 0 0 2 2 4 0 0 0 0 0 0 0 0 5 0 0 0 0 9 2 
2 2 0 0 0 3 0 0 0 0 0 0 0 0 0 5 0 5 2 2 2 
2 2 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 10 0 0 2 
2 2 2 2 2 3 0 1 0 0 0 0 0 2 2 2 2 2 2 2 2 
2 2 2 2 2 2 2 2 2 2 0 0 13 13 13 0 11 0 0 0 0 
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
