32 16
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 4 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 7 7 7 4 0 4 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 6 6 6 3 0 3 4 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 6 3 3 0 0 3 4 4 4 0 0 
10 10 10 10 10 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 4 4 0 0 0 0 0 0 0 0 6 0 12 0 0 0 0 0 0 4 4 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 4 3 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 0 0 4 7 7 7 7 7 7 7 4 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 4 4 0 0 0 0 0 0 3 3 6 6 6 6 6 3 3 0 0 0 0 
1 0 0 0 0 0 0 0 4 4 0 0 0 0 0 0 0 0 0 3 3 3 3 6 3 3 3 3 0 0 0 0 
0 0 0 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 
0 0 0 0 4 3 3 4 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 
4 4 4 4 3 3 3 3 4 4 4 3 4 4 4 4 7 7 7 7 7 7 7 6 7 7 7 7 7 7 7 7 
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 
