20 18
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 4 4 4 4 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 3 4 4 4 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 3 3 3 3 4 4 4 4 0 0 4 4 
0 0 1 0 0 0 0 0 3 3 0 0 0 0 0 0 0 4 3 3 
4 4 4 4 4 4 5 10 3 3 0 0 0 0 0 0 4 3 3 3 
3 3 3 3 3 3 5 10 3 3 4 4 0 0 4 4 3 3 3 3 
3 3 3 3 3 3 5 10 3 3 3 3 4 0 0 0 0 0 0 0 
3 3 3 3 3 3 5 10 3 3 3 3 3 4 0 0 0 0 0 0 
3 3 3 3 3 3 5 10 3 3 3 3 3 3 4 4 0 0 9 0 
0 0 11 0 13 0 5 10 2 0 0 0 0 0 0 0 0 2 2 2 
2 2 2 2 2 2 5 10 2 0 0 0 0 0 0 2 2 2 2 2 
2 2 2 2 2 2 5 0 2 0 0 0 0 2 2 2 2 2 2 2 
2 2 2 2 2 2 0 0 0 0 0 2 2 2 2 2 2 2 2 2 
2 2 2 2 2 2 2 7 7 7 7 2 2 2 2 2 2 2 2 2 
2 2 2 2 2 2 2 2 6 6 6 2 2 0 0 0 0 0 0 0 
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
