16 18
0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 
1 0 0 10 0 10 3 0 0 0 0 0 0 0 0 0 
4 4 4 4 0 10 3 0 0 0 0 0 0 0 0 0 
7 7 7 7 7 7 3 0 0 0 0 0 0 0 0 0 
6 6 6 6 6 6 3 0 0 0 0 11 0 13 0 0 
6 6 6 6 6 10 3 0 0 0 0 4 4 4 0 0 
6 6 6 6 6 10 3 10 10 4 4 0 0 0 0 10 
6 6 6 6 6 6 3 4 0 0 0 0 0 0 10 0 
6 6 6 6 6 6 3 0 0 4 0 0 0 10 0 0 
6 6 6 6 6 10 3 4 0 0 0 10 0 0 0 0 
6 6 6 6 6 10 3 0 0 4 4 0 10 0 0 0 
6 6 6 6 6 6 3 4 0 0 0 0 0 10 0 0 
6 6 6 6 6 6 3 3 4 0 0 0 0 0 0 10 
6 6 6 6 6 10 3 3 3 4 4 0 0 0 10 0 
6 6 6 6 6 10 3 3 0 0 0 0 4 0 0 0 
6 3 3 3 3 3 3 0 0 0 4 4 3 10 0 0 
6 7 7 7 7 7 7 7 4 4 3 3 3 0 10 9 
4 4 4 4 4 4 4 4 3 3 3 3 3 4 4 4 
